Building,ROOM,Type,Dept,Class,Title,Meeting_Dates,Meeting Days,Meeting_Times,Room_Capacity,Max_Enrl,Actual_Enrl,,,
NH,382,CL,GENERAL POOL CLASSROOM,ENG 519,ADV COLLEGE COMP TEACHING,Sep 26-Dec 10,R,0900-0950,15,15,6,,,
NH,382,CL,GENERAL POOL CLASSROOM,LING 399,SPST: BUSINESS ENGLISH,Sep 26-Dec 10,TR,1000-1150,15,5,4,,,
NH,382,CL,GENERAL POOL CLASSROOM,ARCH 568,ARCHITECTURAL TECHNOLOGY 1,Sep 26-Dec 10,TR,1200-1350,15,15,6,,,
NH,382,CL,GENERAL POOL CLASSROOM,GRN 515,POWER & KNOWLEDGE: GRN,Sep 26-Dec 10,W,1730-2110,15,15,14,,,
NH,382,CL,GENERAL POOL CLASSROOM,RUS 454,FLAGSHIP STDS:AMERICAN STUDIES,Sep 26-Dec 10,WF,0900-1005,15,15,6,,,
,,,,,,,,,,,,,,
CLSB,1A005,CL,GENERAL POOL CLASSROOM,CH 284,GEN CHEM WORKSHOP I,Sep 26-Dec 10,R,1400-1550,16,10,11,,,
,,,,,,,,,,,,,,
CLSB,1A007,CL,GENERAL POOL CLASSROOM,CH 384,ORG CHEM WORKSHOP I,Sep 26-Dec 10,R,1200-1350,16,12,7,,,
,,,,,,,,,,,,,,
NH,26,CL,GENERAL POOL CLASSROOM,CH 284,GEN CHEM WORKSHOP I,Sep 26-Dec 10,F,0800-0950,16,10,8,,,
NH,26,CL,GENERAL POOL CLASSROOM,SPHR 509,PRACTICUM,Sep 26-Dec 10,F,1200-1300,16,15,3,,,
NH,26,CL,GENERAL POOL CLASSROOM,PH 299,SPST: WORKSHOP FOR PH 201,Sep 26-Dec 10,F,1400-1550,16,10,7,,,
NH,26,CL,GENERAL POOL CLASSROOM,WR 460/ 560,INTRO TO BOOK PUBLISHING,Sep 26-Dec 10,MW,1000-1150,16,16,15,,,
NH,26,CL,GENERAL POOL CLASSROOM,SPHR 509,PRACTICUM: ADV,Sep 26-Dec 10,MW,1400-1500,16,15,3,,,
NH,26,CL,GENERAL POOL CLASSROOM,CH 384,ORG CHEM WORKSHOP I,Sep 26-Dec 10,R,1000-1150,16,12,11,,,
NH,26,CL,GENERAL POOL CLASSROOM,PH 299,SPST: WORKSHOP FOR PH 211,Sep 26-Dec 10,R,1300-1450,16,10,7,,,
NH,26,CL,GENERAL POOL CLASSROOM,PH 299,SPST: WORKSHOP FOR PH 201,Sep 26-Dec 10,R,1840-2030,16,10,7,,,
,,,,,,,,,,,,,,
NH,224,CL,GENERAL POOL CLASSROOM,WR 463/ 563,BOOK MARKETING,Sep 26-Dec 10,MW,1640-1830,16,16,13,,,
NH,224,CL,GENERAL POOL CLASSROOM,ENG 500,PROBLEMS & MTHDS LIT STUDY,Sep 26-Dec 10,MW,1840-2030,16,14,10,,,
