Room,Room,Description,Maximum Capacity,
AB,135,DEPT                                       ART,20,
AB,140,                                               ART,10,
AB,160,GP TC                                      ART,26,
AB,170,TC  MID    CLASSROOM      ART,24,
AB,180,TC     ART,20,
AB,200,GP TC MB W TECH     ART,69,
AB,230,GP TC                                      ART,25,
AB,240,GP TC                                      ART,25,
AB,250,GP TC                                      ART,36,
AB,260,TC                                             ART,30,
AB,275,UNKNOWN,20,
AB,290,STUDIO                                   ART,25,
AB,293,UNKNOWN,16,
AB,320,ART,25,
AB,330,TC  AB,20,
AB,60,SCENE SHOP     ART,15,
ASRC,620,TC MB TECH    DEPT   SW,30,
ASRC,622,SEM SW,12,
ASRC,625,SW SEM,12,
ASRC,630,TC MB TECH    DEPT    SW,30,
ASRC,640,COMPUTER LAB                     SW,22,
ASRC,650,TC MB TECH    DEPT   SW,30,
ASRC,660,TC MB TECH    DEPT    SW,30,
ASRC,677,SW SEM,10,
ASRC,678,SW SEM,10,
BA,130,GP FTAC W MB                        BA,45,
BA,140,GP FTAC W MB                        BA,52,
BA,160,DEPT CLASSROOM,52,
BA,170,GP FTAC W MB                        BA,45,
BA,260,FAC OFFICE                             BA,8,
BA,270,OFFICE SPACE                   BA,22,
BA,290,GP FTC LEC                             BA,38,
BA,340,CLASSLAB  W                          BA,40,
BA,360,COMPUTER LAB                     BA,50,
BA,370,OPENLAB                                  BA,20,
BA,390,DEPT CLASSROOM TC    BA,38,
BA,490,GP LEC FTC MB                      BA,66,
BA,590,CONF TC MB                           BA,15,
BA,638,FAC OFFICE                            BA,5,
BA,690,CONF TC MB                           BA,15,
BA,696,FACOFF                                     BA,4,
BHB,225,MAC COMP LAB,20,
CAP,1042,COMPUTER LAB                                XS,20,
CAP,1061,,30,
CAP,1064,,60,
CAP,1301,TC  TECH   XS,44,
CAP,1307,TC MB TECH   XS,55,
CAP,1315,TC  TECH   XS,46,
CECS,20,MATERIALS LAB                      ME,15,
CECS,23,CONF TC                            CECS,20,
CECS,54,MLTIMED TRNSMT/REC  CECS,40,
CECS,62,LASER & OPTICS LAB      CECS,12,
CH,1,PC WORKSTATIONS            IRS,22,
CH,101,GP TC W MB     TECH              UNST,40,
CH,103,GP TC MB W     TECH              UNST,36,
CH,124,GP TAC W  FINNISH RM     FL,25,
CH,145,COMPUTER LAB  W          UNST,15,
CH,147,COMPUTER LAB  W          UNST,15,
CH,149,COMPUTER LAB  W         UNST,15,
CH,154,COMPUTER LAB               UNST,13,
CH,159,COMPUTER LAB               UNST,20,
CH,163,COMPUTER LAB                UNST,14,
CH,165,LIBRARY RM                             UNST,15,
CH,166,PEER LOUNGE   MB TC   UNST,35,
CH,187,GP TC CB       UNST,18,
CH,194,SEM                                      UNST,16,
CH,196,COMPUTER LAB               UNST,17,
CH,201,GP TC MB W     TECH              UNST,40,
CH,203,GP TC MB W      TECH             UNST,36,
CH,224,GP  TC  MB  W  TECH    UNST,36,
CH,225,GP TC W MB TECH   UNST,40,
CH,228,GP TC W MB TECH   UNST,40,
CH,245,COMPUTER LAB               UNST,15,
CH,247,COMPUTER LAB  W               UNST,15,
CH,249,COMPUTER LAB  W         UNST,15,
CH,265,TC  MB  MID     DEPT      SOC,20,
CH,268,SEM  TC                                  SOC,15,
